Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Breast	Polycystic ovarian syndrome	428|30319	3|196	0.8687229667477098	0.5299116629536119	1.4241611304580906	0.5768363
Thyroid	Vitamin B12 deficiency	121|54634	6|1908	1.1406519672160231	0.7183817255690289	1.8111358683062195	0.5769295
Thyroid	Other anaemias	121|54634	16|5077	1.0842543329607854	0.8157298377713985	1.4411725599691647	0.5774147
Colorectal	Thrombophilia	241|54634	0|104	0.6015924838650106	0.10042373653459027	3.603864276830752	0.5779507
Thyroid	Liver fibrosis, sclerosis and cirrhosis	121|54634	0|131	0.6045015770986039	0.10208504077214199	3.579585744892209	0.5791073
Lymphoma	Intracerebral haemorrhage	193|54634	0|45	0.6027046519537677	0.100470464524914	3.61551923945405	0.5796261
Non-Melanoma Skin	Liver failure and transplant	129|54634	0|84	0.6033625615534777	0.10082350157243894	3.6107293935116593	0.579932
Non-Melanoma Skin	Parkinsons disease	129|54634	0|34	0.599738231378551	0.09788843765956198	3.6744477159600204	0.5803876
Endocrine	Meniere disease	164|54634	0|84	0.6042259872187149	0.10123113007440232	3.6064898550682933	0.5804537
Gynaecological	Rosacea	361|30319	4|363	0.8844900630364608	0.5723081894238335	1.3669604700185038	0.5805153
Uterine	Meniere disease	102|30319	0|47	0.6015148834399271	0.09898064826751507	3.655463581344281	0.5808812
Respiratory	Peripheral venous and lymphatic disease	149|54634	10|1570	1.104498626137565	0.7756245835075319	1.572819171902797	0.5815545
Breast	Non-spinal osteoarthritis	428|30319	91|2445	1.0377560107162453	0.9095923853571424	1.1839781809022591	0.5816007
Non-Melanoma Skin	Hidradenitis suppurativa	129|54634	0|151	0.6045221305016311	0.10083468553548444	3.6242192289837374	0.5817542
Non-Melanoma Skin	Bronchiectasis	129|54634	2|204	1.2705387206299734	0.5417263144307382	2.9798601205414403	0.5819453
Colorectal	Coeliac disease	241|54634	1|106	1.4401222416216637	0.39249087124683174	5.284077217452344	0.5823807
Non-Melanoma Skin	Lupus erythematosus	129|54634	0|117	0.6039632060733177	0.09999862530885353	3.6477656884155714	0.5826174
Gynaecological	Subdural haematoma	361|30319	0|17	0.5997718176599152	0.09663704525742103	3.722446524527343	0.5831118
Bladder	Asthma	163|54634	29|6057	1.0614124275684211	0.8578835940231915	1.313227516233669	0.5831938
Male genital	Obsessive-compulsive disorder	222|24315	0|68	0.6009791723735032	0.09747901840328806	3.705166214666745	0.5832194
Cervical	Bronchiectasis	137|30319	0|88	0.6028704185249139	0.09887952194332578	3.675712972608452	0.58324
Prostate	Retinal detachments	196|24315	2|102	0.8464602809585411	0.466279033370158	1.5366228287421604	0.5837434
Ovarian	Pulmonary hypertension	117|30319	0|37	0.5998719879174481	0.09600332621899516	3.7482701491735613	0.5846221
Kidney	Subarachnoid haemorrhage	182|54634	0|46	0.6009407109372503	0.09678970922596489	3.73107576156341	0.5846235
Lymphoma	Retinal detachments	193|54634	2|181	1.2676096986543277	0.541477329245588	2.9675006899388268	0.5847739
Bladder	Hypopituitarism	163|54634	0|65	0.6033746289253821	0.09847578880023507	3.696958889756805	0.5848857
Cervical	Non-malignant CNS tumour	137|30319	0|65	0.6040103170406953	0.09890583926333263	3.688644328877901	0.5849834
Cervical	Sjogrens disease	137|30319	0|68	0.6037820442871222	0.09850501287175667	3.700854874037186	0.5854656
Respiratory	Lupus erythematosus	149|54634	0|117	0.6014968382641029	0.09633678979081717	3.7555584655385625	0.5864568
Haematopoietic	Trigeminal neuralgia	515|54634	2|86	1.2706721341997294	0.5358039873696553	3.013429744257884	0.5866425
Solid	Meniere disease	2312|54634	5|84	0.8905152955841407	0.5861222813079203	1.3529898401059015	0.5868813
Solid	Eyelid ptosis	2312|54634	6|103	0.897996597197031	0.6087478843450006	1.3246828602042917	0.5875257
Uterine	Vitamin B12 deficiency	102|30319	10|1292	1.1033217475988117	0.7731324961290723	1.5745281498570824	0.5878836
Kidney	COPD	182|54634	11|662	1.0993057014213576	0.7802286041461931	1.5488704448357662	0.5883265
Ovarian	Meniere disease	117|30319	0|47	0.6013903827453215	0.09527242305782178	3.7961708210051803	0.5885499
Breast	Trigeminal neuralgia	428|30319	1|58	0.8083638600349918	0.3739436355539715	1.7474615639403197	0.5885837
Urinary	Ischemic stroke	212|54634	6|350	1.13637685063378	0.7150344754771456	1.8060001173994065	0.5885848
Lymphoma	Ulcerative colitis	193|54634	2|293	1.2621466982074274	0.5423593770391689	2.937193225076045	0.5890258
Prostate	Venous thromboembolism	196|24315	4|126	1.1730005047756287	0.657459601107787	2.092798069851752	0.5890528
Gynaecological	Hypertrophic cardiomyopathy	361|30319	0|11	0.5966288802564245	0.09122805213483119	3.9019359991368905	0.5898666
Uterine	Autonomic neuropathy	102|30319	0|49	0.6015281169129305	0.09471142139411222	3.8204059247632602	0.5899553
Urinary	Intracerebral haemorrhage	212|54634	1|45	1.4301609637498294	0.3888085250761694	5.260585224650476	0.5902901
Urinary	Thyroid disease	212|54634	16|2967	1.0790911941617234	0.817863292851113	1.4237560427221092	0.5903995
Secondary	Coeliac disease	479|54634	2|106	1.264294172430286	0.5381390365280135	2.9703099867165528	0.5904857
Respiratory	Learning disability	149|54634	0|264	0.6033510977737144	0.09546939061428034	3.813081290688519	0.591178
Haematopoietic	ADHD and hyperkinetic disorders	515|54634	0|43	0.6013049913739025	0.09361931499528416	3.8621057275347725	0.5919317
Thyroid	Peptic ulcer	121|54634	2|1199	0.8493958049112191	0.467451518207523	1.5434183124857945	0.5921725
Male genital	Psoriatic arthropathy	222|24315	1|40	1.4239475792674354	0.39028712218416434	5.195218067033262	0.5925033
Kidney	Hyperprolactinaemia and prolactinoma	182|54634	0|192	0.6047391929068516	0.09577966132900054	3.8182374667355328	0.5926765
Skin	Hypertrophy of nasal turbinates	159|54634	4|1009	1.1674372946041174	0.6619002858463822	2.0590863397041854	0.5928417
Thyroid	Thrombophilia	121|54634	0|104	0.6046587679425738	0.09545921030128919	3.8300361431430536	0.5932239
Uterine	Folate deficiency	102|30319	3|990	0.8722370898493722	0.5280326922777275	1.4408152223058717	0.5934741
Male genital	Spinal stenosis	222|24315	7|170	1.1243982458808788	0.7306099396036819	1.7304328162107936	0.5940047
Gynaecological	Chronic kidney disease	361|30319	1|31	1.418739781848049	0.39185968880039646	5.136590024761466	0.5941524
Gynaecological	Portal hypertension	361|30319	1|31	1.418739781848049	0.39185968880039646	5.136590024761466	0.5941524
Prostate	Ischemic stroke	196|24315	6|211	0.9017914446596116	0.6164412111300799	1.3192301146940417	0.5943167
Thyroid	End stage renal disease	121|54634	0|130	0.6043311316877945	0.09465889007105924	3.8582336688385785	0.5943981
Ovarian	Hidradenitis suppurativa	117|30319	0|82	0.6033710086884693	0.09333880697872438	3.9003774090312073	0.5957033
Endocrine	Menorrhagia and polymenorrhoea	115|30319	13|3718	0.9279778639338447	0.7038653819005655	1.2234483156793103	0.596107
Breast	Peptic ulcer	428|30319	15|448	1.0795740875771933	0.813253670716805	1.4331078389610845	0.5962765
Endocrine	Erectile dysfunction	49|24315	5|2909	0.8860880093129104	0.5662583138482284	1.3865614703514217	0.5965388
Endocrine	Male infertility	49|24315	5|2909	0.8860880093129104	0.5662583138482284	1.3865614703514217	0.5965388
All	Vitiligo	2782|54634	27|461	1.0581553962355743	0.8582905847220511	1.3045614882808796	0.5966323
Kidney	Chronic kidney disease	182|54634	1|68	1.4135821293487538	0.392027801308948	5.097124310424634	0.5968379
Kidney	Portal hypertension	182|54634	1|68	1.4135821293487538	0.392027801308948	5.097124310424634	0.5968379
Kidney	Endometriosis	57|30319	1|735	0.8116922606519178	0.37424530531858385	1.760461164479716	0.5973741
Bladder	Somatoform and dissociative disorders	163|54634	9|2700	1.104119958484942	0.7644037506264865	1.5948127958891634	0.5975263
Lung	Fatty liver disease	130|54634	11|2125	1.0948760932320114	0.7819478411171568	1.5330353208960221	0.5976493
Uterine	Hyperparathyroidism	102|30319	1|52	1.413350320888354	0.3910097434491355	5.108719572905133	0.5977074
Ovarian	Retinal detachments	117|30319	1|79	1.4131015931205633	0.39113330640712396	5.105308292005644	0.5977541
Uterine	Hip fracture	102|30319	0|21	0.5977402404024478	0.08791085757669856	4.0642692477962985	0.5987574
Skin	Subdural haematoma	159|54634	0|48	0.5999853744378532	0.08939328423841646	4.026951829840363	0.5989486
Skin	Epilepsy	159|54634	2|418	1.2525744583570588	0.5407553286573096	2.9013912403307245	0.5992527
Bladder	Subarachnoid haemorrhage	163|54634	0|46	0.6012388514626132	0.08984819814393583	4.023321156969474	0.5998692
Endocrine	Dysmenorrhoea	115|30319	8|1786	1.1103663434306255	0.750292341299658	1.643244038034351	0.6006465
Gynaecological	Type 2 Diabetes	361|30319	86|4283	1.038313850674576	0.9014380477482139	1.1959730956506007	0.6021566
Colorectal	Psoriatic arthropathy	241|54634	1|78	1.4052019090926184	0.3896059637361237	5.068178080186964	0.6032271
Lymphoma	Hypopituitarism	193|54634	0|65	0.6041256940294016	0.09026721789187106	4.043193782971052	0.6033335
Digestive	Spondylolisthesis	534|54634	4|88	1.1648286562259527	0.6545514022806409	2.07290946690756	0.6038769
Secondary	Sjogrens disease	479|54634	1|77	0.8128798226332703	0.37070234610301855	1.7824910281540742	0.6050526
Urinary	Ankylosing spondylitis	212|54634	1|106	1.3994705688617362	0.3904719590856111	5.015770857647643	0.6058139
Solid	Other haemolytic anaemias	2312|54634	12|192	1.0885869727821944	0.7882674997832808	1.5033241858086266	0.6062832
Haematopoietic	Rosacea	515|54634	6|477	1.1270639759058176	0.7147619848710315	1.7771974904538776	0.6066995
Lung	Enthesopathies	130|54634	41|7084	1.0526131639636582	0.8656924465930387	1.2798938899260728	0.6072058
Colorectal	Cardiac conduction defects	241|54634	7|366	1.117796123640123	0.7299764249136639	1.711655515686911	0.6084884
Non-Melanoma Skin	Coronary heart disease	129|54634	23|2984	1.0700841604426483	0.8257065623253406	1.3867881916857883	0.6085778
Gynaecological	Parkinsons disease	361|30319	0|10	0.5974551862985845	0.08306355843137017	4.297344182888604	0.6088878
Endocrine	Interstitial pulmonary diseases with fibrosis	164|54634	0|66	0.6027269524384463	0.08649513754300493	4.20000232978549	0.6092475
Thyroid	Unspecified or rare diabetes	121|54634	18|7919	0.9332393247892379	0.7158774255805467	1.2165988285309883	0.6095349
Prostate	Macular degeneration	196|24315	2|55	0.852010864903479	0.46026145984710215	1.5771959576079309	0.6102267
Lymphoma	Schizophrenia and psychosis	193|54634	3|616	1.1872455971543512	0.6132155092410109	2.2986243608010226	0.6106216
Kidney	Pancreatitis	182|54634	1|255	0.8179934088928954	0.3772688559295373	1.7735713045902475	0.6108851
Uterine	Iron deficiency	102|30319	23|4954	1.0647396402232918	0.8356730256896369	1.3565957816183747	0.611775
Lung	Lupus erythematosus	130|54634	0|117	0.6013434761248494	0.08408894258644657	4.300374878732297	0.6123611
Urinary	Aplastic anaemias	212|54634	0|45	0.5988123512376549	0.08207276887024315	4.369003713785711	0.6130305
Male genital	Bone and joint infections	222|24315	1|100	0.8146538336160146	0.3674617086160073	1.8060680965231846	0.6137954
Urinary	Visual impairment	212|54634	8|712	1.1072461646906513	0.7452992078169436	1.6449689686551756	0.6139586
Lung	Unspecified or rare diabetes	130|54634	57|7919	1.0489910526827038	0.870979888955093	1.2633841981454772	0.614193
Uterine	Thrombophilia	102|30319	0|95	0.6034953159194643	0.08442955170328069	4.313733627494578	0.6147788
Thyroid	Menorrhagia and polymenorrhoea	87|30319	10|3718	0.9229121756329329	0.6742393718555953	1.2633004233901963	0.616495
Male genital	Cardiac conduction defects	222|24315	7|228	0.9116397298619695	0.6346142150932557	1.309594045164396	0.6166741
Respiratory	Diabetic eye	149|54634	30|3243	0.9490043467831815	0.7730460183648469	1.1650137622057077	0.6168957
Respiratory	Hypopituitarism	149|54634	0|65	0.6019192372892755	0.08234189899970666	4.400029300031008	0.6169546
Thyroid	Coeliac disease	121|54634	0|106	0.6045160853105521	0.08377714846747937	4.362045069378928	0.6176486
Prostate	Irritable bowel syndrome	196|24315	6|673	0.9080820872561098	0.6215058595491192	1.3267985563219646	0.6182096
Endocrine	Chronic sinusitis	164|54634	22|6315	1.0616925712713923	0.83896155162103	1.3435551530519094	0.6182508
Endocrine	Psoriatic arthropathy	164|54634	0|78	0.604824467144744	0.08308058820634091	4.40310599569159	0.6195736
Uterine	Thrombocytopenia	102|30319	1|147	1.3768179454449136	0.3895027162544557	4.866789307987189	0.6196259
Haematopoietic	Obsessive-compulsive disorder	515|54634	2|172	1.2346505813911108	0.5365391428108094	2.8411013037065924	0.6200841
Non-Melanoma Skin	Chronic fatigue	129|54634	3|1308	0.8804369153558954	0.5321365657741364	1.4567109493663737	0.6201259
Prostate	Urticaria	196|24315	7|761	1.1122199799945927	0.7300457759681537	1.6944598881606767	0.620492
Secondary	Neuromuscular bladder dysfunction	479|54634	7|477	0.9155326059918875	0.6455183638941197	1.29849125837074	0.6206201
Male genital	Enthesopathies	222|24315	53|3241	0.960834597317172	0.820148993367898	1.1256529372920008	0.6208618
Skin	Diabetic eye	159|54634	18|3243	0.9388322154796802	0.7310142686981108	1.2057301294435905	0.6209902
Cervical	Trigeminal neuralgia	137|30319	0|58	0.6040266255394191	0.08180191703601018	4.460141981757311	0.6211484
Urinary	Female genital prolapse	67|30319	5|884	1.1372578840493721	0.6825277045497493	1.8949494448517035	0.621484
Breast	Menorrhagia and polymenorrhoea	428|30319	68|3718	0.9676789596198043	0.8493533667594212	1.102488793873354	0.6214916
Thyroid	Sarcoidosis	121|54634	0|98	0.6043837107834088	0.08180376578022591	4.4653160692098695	0.6216562
Digestive	Thrombophilia	534|54634	1|104	1.372320359191119	0.38972616792315756	4.832272819365226	0.6221523
Bladder	Retinal detachments	163|54634	1|181	0.8216588454014147	0.37567879849555597	1.7970757490973288	0.6227485
Thyroid	Spondylolisthesis	121|54634	0|88	0.6028897106869795	0.08026434331866299	4.52848660094519	0.6228135
Uterine	Chronic fatigue	102|30319	5|922	1.1337877290532383	0.6870021343472896	1.8711362749593337	0.6232528
Non-Melanoma Skin	Subdural haematoma	129|54634	0|48	0.601012828149509	0.0786400474311976	4.593288424912261	0.6236534
Endocrine	Liver failure and transplant	164|54634	0|84	0.6047718497049942	0.08094530494375565	4.518470718588787	0.6240411
Colorectal	Retinal detachments	241|54634	3|181	1.181193065327887	0.606421033138932	2.300739884229978	0.6244481
Secondary	Spondylolisthesis	479|54634	4|88	1.1537482614905152	0.6497217530320006	2.048777102937516	0.6254415
Thyroid	Sjogrens disease	121|54634	0|77	0.6042930600257681	0.07987455000823702	4.571795426173274	0.6256444
Thyroid	Schizophrenia and psychosis	121|54634	2|616	1.2289264704120706	0.5368295534381802	2.813295691354644	0.6256638
Prostate	Congenital cardiac disease	196|24315	1|113	0.8202976637671338	0.3695602550628583	1.8207809091033516	0.6263105
Thyroid	Trigeminal neuralgia	121|54634	0|86	0.6044205793142454	0.0794650640355733	4.59729368034017	0.6267005
Uterine	Barretts oesophagus	102|30319	0|22	0.5992035034002948	0.07595592812431186	4.7270153542138695	0.6269635
Lymphoma	Thrombophilia	193|54634	0|104	0.6049315305502605	0.07959773828822342	4.597393902434818	0.6271404
Endocrine	COPD	164|54634	3|662	1.1816077368644144	0.6026224727505327	2.316868200160578	0.6271435
Skin	Vitiligo	159|54634	2|461	1.2279142520916717	0.5362307643817819	2.811799528563332	0.6271664
Kidney	Enthesopathies	182|54634	45|7084	1.0451548957180894	0.8744676130755198	1.249158619153062	0.6273356
Thyroid	COPD	121|54634	2|662	1.232693977565994	0.5296834685496192	2.868759424356333	0.6273687
Prostate	Obsessive-compulsive disorder	196|24315	0|68	0.5996182957262403	0.07598765394378659	4.731585749911684	0.627473
Male genital	Cholelithiasis	222|24315	11|369	1.0866752440751015	0.7767696137358298	1.5202230689823033	0.6274864
Urinary	Chronic viral hepatitis	212|54634	4|616	1.149233271978692	0.6549389066415461	2.0165806306964473	0.6277939
Bladder	Hyperprolactinaemia and prolactinoma	163|54634	0|192	0.6050065467109546	0.07933502267363557	4.6137621094391355	0.6278062
Endocrine	Chronic ulcer of skin	164|54634	1|506	0.8244399266306477	0.3776751063352982	1.7996981564872117	0.6278987
Kidney	Glaucoma	182|54634	6|449	1.1189984005811102	0.7098389256260691	1.7640021916221278	0.6282651
Respiratory	Rosacea	149|54634	1|477	0.8231317549903467	0.37384817245228	1.8123557529493441	0.6288473
Uterine	Peptic ulcer	102|30319	3|448	0.8806764267689476	0.526006809768649	1.4744884557818674	0.6289282
Lung	Learning disability	130|54634	0|264	0.6031170429573489	0.0774246557013038	4.698117985941413	0.6292476
Colorectal	Bipolar disorder	241|54634	2|235	1.2275778496758343	0.5339687298873146	2.8221640943895006	0.6292615
Thyroid	Cervical dysplasia	87|30319	1|196	1.3590922314349199	0.3895445355108903	4.741772827397576	0.6303419
Thyroid	Polycystic ovarian syndrome	87|30319	1|196	1.3590922314349199	0.3895445355108903	4.741772827397576	0.6303419
All	Trigeminal neuralgia	2782|54634	7|86	0.9124474356060494	0.6282207384038075	1.325267174177403	0.6304083
Haematopoietic	Spondylosis	515|54634	26|1570	0.9520981031240064	0.7792306439312078	1.1633151301636413	0.6310931
Haematopoietic	Female infertility	236|30319	13|1616	1.0763871479999971	0.7968060658318099	1.4540668577492073	0.6314304
Solid	Thrombophilia	2312|54634	3|104	0.882939144305091	0.5307313913813738	1.4688815193635556	0.6316489
Skin	Rosacea	159|54634	1|477	0.8257840337491456	0.3771300314478492	1.8081807693145968	0.6321442
Uterine	Alcohol dependence	102|30319	4|1305	0.8958502604560896	0.5707871647813042	1.4060366782542104	0.6324878
Lung	Female infertility	37|30319	1|1616	0.822426633264136	0.368455446383089	1.835732308320754	0.6332124
Cervical	Sarcoidosis	137|30319	0|58	0.6040525992427479	0.07578079367777792	4.814934298569081	0.6340952
Prostate	Hypertrophic cardiomyopathy	196|24315	1|63	0.8230609687032716	0.36884010818491764	1.8366477592050245	0.6344378
Male genital	Psoriasis	222|24315	9|567	1.0933031208748927	0.7568126850161219	1.5794023247500368	0.6345676
Thyroid	Meniere disease	121|54634	0|84	0.6046007234870296	0.07545957474229137	4.8442101097101915	0.6355459
Kidney	Aplastic anaemias	182|54634	0|45	0.6027914476727908	0.0742449735416194	4.89403540811786	0.6356801
Lymphoma	Vitiligo	193|54634	1|461	0.8275382079893933	0.37811786492307137	1.8111270299847477	0.6357116
Cervical	Autonomic neuropathy	137|30319	0|49	0.6044368988902002	0.07478254326865977	4.885417756220018	0.6367799
Thyroid	Dermatitis	121|54634	29|11312	1.0535683171998862	0.848353420972494	1.3084242623021023	0.6368468
Prostate	Psoriatic arthropathy	196|24315	1|40	1.3542015247360661	0.384252834454953	4.772539341703867	0.6370783
Lung	Hypopituitarism	130|54634	0|65	0.6018740950393343	0.0729543482423584	4.965467240910645	0.637237
Respiratory	Meniere disease	149|54634	1|84	1.3529386439389897	0.38501574862942006	4.754202862556887	0.6373349
Uterine	Learning disability	102|30319	0|123	0.6032177719141566	0.07374472586605821	4.934206156166014	0.6373517
Prostate	Asthma	196|24315	39|2545	1.0457458888090976	0.8679541363710314	1.2599565093767193	0.6380151
Skin	Thrombophilia	159|54634	0|104	0.6048988651295851	0.07435282580544714	4.921166520186967	0.6383402
Cervical	Rheumatic valve disorder	137|30319	0|47	0.6043389880435727	0.07354804594475435	4.965809869970834	0.6393119
Thyroid	Alcohol dependence	121|54634	5|2814	0.9073495606259442	0.6034573089813188	1.3642774938924143	0.6403275
Thyroid	Ankylosing spondylitis	121|54634	0|106	0.6050107817716043	0.07341796636123052	4.985674000542459	0.6405071
All	Meniere disease	2782|54634	6|84	0.910527570188487	0.6138704417634507	1.3505463036984289	0.6412205
Secondary	Meniere disease	479|54634	1|84	0.8264011248771973	0.3704284093656572	1.8436459027745753	0.6413971
Urinary	Thrombophilia	212|54634	0|104	0.6021160970646882	0.07109179142237758	5.099657598870057	0.6416456
Cervical	Hyperparathyroidism	137|30319	0|52	0.6038357832804135	0.0720873284348813	5.057999250162818	0.6417934
Prostate	Peripheral venous and lymphatic disease	196|24315	13|453	1.0756393188328743	0.7910786223577773	1.4625599927992738	0.6418565
Thyroid	Polymyalgia rheumatica	121|54634	0|71	0.6032129461912843	0.07152345794091094	5.087363907284471	0.6421815
Gynaecological	Epilepsy	361|30319	4|245	1.1409360249195764	0.6540051323014476	1.990404889298761	0.6423749
Cervical	Eyelid ptosis	137|30319	0|58	0.604430854551433	0.07210040626238254	5.06705408294468	0.6425708
Bladder	Aplastic anaemias	163|54634	0|45	0.6028083260696221	0.07083256687022259	5.13009614129374	0.6431467
Cervical	Dermatitis	137|30319	32|6763	1.0496191667026102	0.8548429424157598	1.2887752129018115	0.6437839
Male genital	Congenital cardiac disease	222|24315	1|113	0.8272734381282738	0.37009549945963316	1.849202009837521	0.6440504
Haematopoietic	Alllergic and chronic rhinitis	515|54634	107|11166	1.0263330456785646	0.9187732267117041	1.1464847799514355	0.6453919
Lung	Migraine	130|54634	7|4017	1.103516170018851	0.725348507229224	1.6788453072644736	0.6454398
Skin	Urinary Incontinence	159|54634	9|1844	1.0908476995569714	0.7530437891134114	1.5801852705401243	0.6455899
Lymphoma	Fatty liver disease	193|54634	10|2125	1.0840806493290756	0.768385821681425	1.5294801401697447	0.6457137
Cervical	Meniere disease	137|30319	0|47	0.6042139028198149	0.07000421671229412	5.215035000836437	0.64684
Solid	Ankylosing spondylitis	2312|54634	6|106	1.1115906416054808	0.7058851300771447	1.750474265366441	0.647939
Uterine	Liver failure and transplant	102|30319	0|31	0.60150405626947	0.06741304053708261	5.367019894460961	0.6489463
Lung	Vitiligo	130|54634	1|461	0.8293856773559467	0.37055714819513247	1.8563414716289592	0.6490429
Lymphoma	Diabetic neuropathy	193|54634	3|293	1.1644524773261546	0.6040986539684979	2.244583004850939	0.6493184
Colorectal	Asthma	241|54634	42|6057	1.0416205275632633	0.873470547306465	1.2421407073048085	0.6498546
Ovarian	Other haemolytic anaemias	117|30319	1|144	1.330259452132483	0.3864855494041249	4.578671085416079	0.6508932
Urinary	Fibromyalgia	212|54634	2|585	0.8695138644513268	0.474337891490048	1.5939151689907596	0.651115
Ovarian	Post-traumatic stress disorders	117|30319	10|1965	1.0835927060650177	0.7650906312122493	1.5346850487201589	0.6511919
Male genital	Gout	222|24315	9|441	0.9280092301157312	0.6705926535837162	1.284238839446935	0.6521727
Solid	Sjogrens disease	2312|54634	8|77	1.0966571519082182	0.7337993300856349	1.6389452259258592	0.6526409
Thyroid	Female genital prolapse	87|30319	4|884	1.138795357780378	0.6463664732490165	2.0063770640568457	0.6528604
Solid	Lichen planus	2312|54634	30|445	0.9585143934199049	0.7962383749111148	1.1538628020731723	0.6543524
Ovarian	Thrombocytopenia	117|30319	1|147	1.3240735402926693	0.3865339868082006	4.53561860000966	0.6549745
Endocrine	Supraventricular tachycardia	164|54634	1|180	1.3228374329580217	0.38725777593614674	4.518692671321601	0.655315
Kidney	Folate deficiency	182|54634	7|1450	1.0983117191298237	0.7272133923249579	1.6587822021832002	0.6557599
Urinary	Enthesopathies	212|54634	52|7084	1.0385279730658448	0.8791962932062983	1.2267344154818665	0.6564016
Ovarian	Hip fracture	117|30319	0|21	0.5981468419947952	0.06191263503550626	5.778782382354807	0.6569658
Gynaecological	Diabetic neuropathy	361|30319	4|129	1.1350821191612162	0.6482069152125407	1.9876545390094456	0.6575707
Skin	Bronchiectasis	159|54634	2|204	1.2038599264972143	0.529155277473365	2.738853384484722	0.6582095
Breast	Gastritis and duodenitis	428|30319	78|3530	0.971758560426203	0.8558658845868682	1.1033442467652896	0.6583822
Digestive	Sjogrens disease	534|54634	1|77	0.8325724782135022	0.36935247280925737	1.876735591361659	0.6585811
Solid	Coeliac disease	2312|54634	5|106	0.9091393465670171	0.5956363554449355	1.3876492660675295	0.6588384
Non-Melanoma Skin	Venous thromboembolism	129|54634	1|391	0.834927820819461	0.3747863007923417	1.8600051936385464	0.6588812
Digestive	Thyroid disease	534|54634	45|2967	1.0372458715137771	0.8816540160379283	1.2202961461087376	0.6592049
Cervical	End stage renal disease	137|30319	0|47	0.6044616813110908	0.06449619817118661	5.665045917957066	0.6592578
Ovarian	Type 1 Diabetes	117|30319	1|217	0.8342926824486193	0.37178785114821505	1.8721544500114164	0.6604209
Cervical	Hypertension	137|30319	17|4567	0.940310912902195	0.7143979349725238	1.2376640099848073	0.6606533
Bladder	Psoriasis	163|54634	4|1162	0.9042576031015379	0.5765720089277356	1.4181781288474276	0.6611444
Prostate	Other anaemias	196|24315	27|953	1.0502522779239813	0.843438643507877	1.3077772233638598	0.6612325
Bladder	Alllergic and chronic rhinitis	163|54634	31|11166	0.9578009492507914	0.7897145183562077	1.1616636608065036	0.6614396
Colorectal	Spinal stenosis	241|54634	3|306	0.8915203635893452	0.5323323216003178	1.4930683831203302	0.662509
Kidney	Respiratory failure	182|54634	2|169	1.199421071541419	0.5287440085676427	2.7208079591383645	0.6634726
Uterine	Psoriatic arthropathy	102|30319	0|38	0.6020884003612523	0.061214119823772714	5.9220069306426515	0.6635672
Gynaecological	Scoliosis	361|30319	2|99	1.1979430967189322	0.5296940623249277	2.7092387191915295	0.6644514
Ovarian	Fibromyalgia	117|30319	2|500	0.8738137733502943	0.47493498405001794	1.6076948132678848	0.6645556
Gynaecological	Diabetic eye	361|30319	27|1352	0.9561629793205996	0.7802356730493688	1.1717583220081722	0.6656657
Bladder	Nasal polyp	163|54634	2|590	0.8751316034423028	0.4776168103370627	1.603493233002034	0.6659548
Endocrine	Barretts oesophagus	164|54634	0|57	0.6042942686130968	0.06116564520138141	5.970206998983645	0.6664531
Prostate	Bone and joint infections	196|24315	1|100	0.8345580297096165	0.3664682909325067	1.900538524576116	0.6666777
Male genital	Hearing loss	222|24315	27|1068	1.0495331014596636	0.8421906375288197	1.3079220807911758	0.66681
Colorectal	Chronic sinusitis	241|54634	34|6315	1.0423930713690002	0.8626443273653271	1.259595966458993	0.6672322
Thyroid	Psoriatic arthropathy	121|54634	0|78	0.6051172730401527	0.06120334708671239	5.9827923073025495	0.6674021
Uterine	Coronary heart disease	102|30319	14|929	1.0704855172525127	0.7845340533807685	1.4606622079809273	0.6675102
Secondary	Barretts oesophagus	479|54634	1|57	0.8355066263322349	0.3671502772293853	1.9013231527779486	0.6683728
Cervical	Polymyalgia rheumatica	137|30319	0|52	0.6038726183866531	0.060022439200537334	6.07543019067922	0.6684915
Prostate	Adrenal insufficiency	196|24315	0|10	0.5902052035054787	0.05277431842835132	6.60060030368498	0.668621
Kidney	Thrombophilia	182|54634	0|104	0.6050985146954444	0.060429057819566895	6.059075314063157	0.6691077
Male genital	Hypertrophic cardiomyopathy	222|24315	1|63	0.8362739735737033	0.3682171180833477	1.899298333866294	0.6692156
Cervical	Psoriatic arthropathy	137|30319	0|38	0.6044943231232026	0.059874977442161366	6.102939864005205	0.6695975
Respiratory	Alcohol dependence	149|54634	11|2814	1.0742242788172456	0.7730476108412849	1.49273833204738	0.6697225
Uterine	Urinary Incontinence	102|30319	12|1586	1.0724499456410854	0.7775723535734775	1.4791535226527095	0.6698261
Bladder	Erectile dysfunction	113|24315	24|2909	0.9519756711804873	0.7589887832670419	1.1940330325022506	0.6702633
Bladder	Male infertility	113|24315	24|2909	0.9519756711804873	0.7589887832670419	1.1940330325022506	0.6702633
Breast	Migraine	428|30319	52|3246	1.0332301882311128	0.8883319999906855	1.2017631042034898	0.6715358
Uterine	Alopecia	102|30319	1|243	1.3006589231280428	0.38500660076390975	4.3939860536312665	0.6721269
Bladder	Pancreatitis	163|54634	1|255	0.8402725294017408	0.3752630621051639	1.8815012586272968	0.6721893
Breast	Barretts oesophagus	428|30319	1|22	1.3036265050890672	0.3811755686083832	4.458423374234484	0.6725598
